Company,Code
지엔씨에너지,A119850
아미코젠,A092040
GH신소재,A130500
파이오링크,A170790
KG ETS,A151860
나스미디어,A089600
엑세스바이오,A950130
레고켐바이오,A141080
스타모빌리티,A158310
윈팩,A097800
코렌텍,A104540
제로투세븐,A159580
아이원스,A114810
우리이앤엘,A153490
아이센스,A099190
포티스,A141020
스킨앤스킨,A159910
SBI핀테크솔루션즈,A950110
우리로,A046970
디젠스,A113810
맥스로텍,A141070
와이엠씨,A155650
아바텍,A149950
코이즈,A121850
모다,A149940
나노스,A151910
엠씨넥스,A097520
네이블커뮤니케이션즈,A153460
디지탈옵틱,A106520
피엔티,A137400
비아트론,A141000
빛샘전자,A072950
사람인에이치알,A143240
뉴로스,A126870
제룡산업,A147830
남화토건,A091590
메지온,A140410
원익머트리얼즈,A104830
디엔에이링크,A127120
나이스디앤비,A130580
시큐브,A131090
서암기계공업,A100660
씨유메디칼,A115480
키네마스터,A139670
비덴트,A121800
에스에프씨,A112240
신진에스엠,A138070
이엠넷,A123570
와이지엔터테인먼트,A122870
쎄미시스코,A136510
에이티세미콘,A089530
테크윙,A089030
씨큐브,A101240
에스엠코어,A007820
씨엔플러스,A115530
케이맥,A043290
로보스타,A090360
대한과학,A131220
피앤이솔루션,A131390
아이디스,A143160
화진,A134780
제이씨케미칼,A137950
아이씨디,A040910
제닉,A123330
데일리블록체인,A139050
상아프론테크,A089980
나이벡,A138610
옵티시스,A109080
대양전기공업,A108380
서연탑메탈,A019770
넥스트아이,A137940
스카이이앤엠,A131100
엘아이에스,A138690
KMH,A122450
골프존뉴딘홀딩스,A121440
윈스,A136540
하림,A136480
이퓨쳐,A134060
티케이케미칼,A104480
부스타,A008470
나노신소재,A121600
케이아이엔엑스,A093320
티피씨글로벌,A130740
딜리,A131180
엘비세미콘,A061970
제이엔케이히터,A126880
블루콤,A033560
인트론바이오,A048530
다나와,A119860
알서포트,A131370
인텍플러스,A064290
티에스이,A131290
액트,A131400
대정화금,A120240
피제이메탈,A128660
디에이치피코리아,A131030
에이루트,A096690
티비씨,A033830
시그네틱스,A033170
한국전자인증,A041460
디케이락,A105740
코프라,A126600
선데이토즈,A123420
삼본전자,A111870
아나패스,A123860
KNN,A058400
누리플랜,A069140
아이텍,A119830
인화정공,A101930
코렌,A078650
아이씨케이,A068940
한일진공,A123840
알파홀딩스,A117670
포메탈,A119500
다원시스,A068240
씨젠,A096530
와이솔,A122990
하이비젼시스템,A126700
화신정공,A126640
코리아에프티,A123410
엠에스오토텍,A123040
이글루시큐리티,A067920
인터로조,A119610
하이텍팜,A106190
크루셜텍,A114120
에스디시스템,A121890
알톤스포츠,A123750
유비벨록스,A089850
지와이커머스,A111820
오르비텍,A046120
엑스큐어,A070300
실리콘웍스,A108320
투비소프트,A079970
인피니트헬스케어,A071200
모바일리더,A100030
서진오토모티브,A122690
이스트아시아홀딩스,A900110
뉴프라이드,A900100
케이씨에스,A115500
씨케이에이치,A900120
지트리비앤티,A115450
삼기오토모티브,A122350
이미지스,A115610
인포바인,A115310
하이소닉,A106080
모베이스,A101330
지스마트글로벌,A114570
스타플렉스,A115570
우리넷,A115440
아세아텍,A050860
우노앤컴퍼니,A114630
코디,A080530
글로벌에스엠,A900070
ITX엠투엠,A099520
KPX생명과학,A114450
디와이피엔에프,A104460
멜파스,A096640
위메이드,A112040
셀바스AI,A108860
에스앤씨엔진그룹,A900080
이원컴포텍,A088290
강원,A114190
휴맥스,A115160
에이프로젠 H&G,A109960
동방선기,A099410
상상인인더스트리,A101000
진매트릭스,A109820
비츠로셀,A082920
한스바이오메드,A042520
NHN벅스,A104200
아이앤씨,A052860
케이엔더블유,A105330
디에스케이,A109740
제넥신,A095700
톱텍,A108230
동국S&C,A100130
에스앤더블류,A103230
게임빌,A063080
동일금속,A109860
어보브반도체,A102120
조이맥스,A101730
이엔에프테크놀로지,A102710
스맥,A099440
해덕파워웨이,A102210
SDN,A099220
한국정밀기계,A101680
흥국,A010240
우림기계,A101170
티플랙스,A081150
에스티오,A098660
에이테크솔루션,A071670
에스앤에스텍,A101490
뷰웍스,A100120
코오롱생명과학,A102940
엔시트론,A101400
파인테크닉스,A106240
이수앱지스,A086890
대성파인텍,A104040
유비쿼스홀딩스,A078070
메디톡스,A086900
엠게임,A058630
아이컴포넌트,A059100
에이치엘비생명과학,A067630
이크레더블,A092130
세운메디칼,A100700
마이크로컨텍솔,A098120
이엠앤아이,A083470
삼강엠앤티,A100090
아이엠,A101390
웰크론한텍,A076080
코리아에스이,A101670
슈프리마에이치큐,A094840
서울옥션,A063170
이스트소프트,A047560
청담러닝,A096240
월덱스,A101160
쎄트렉아이,A099320
브리지텍,A064480
고영,A098460
조이시티,A067000
우진비앤지,A018620
테스,A095610
예스24,A053280
엘디티,A096870
메타바이오메드,A059210
효성오앤비,A097870
에스모 머티리얼즈,A087730
텔레필드,A091440
이트론,A096040
에스맥,A097780
에스코넥,A096630
일신바이오,A068330
서원인텍,A093920
이씨에스,A067010
대창솔루션,A096350
아이에스이커머스,A069920
알에프세미,A096610
디엔에프,A092070
일진파워,A094820
비엠티,A086670
이엠코리아,A095190
현우산업,A092300
다믈멀티미디어,A093640
에스에너지,A095910
성우전자,A081580
엘엠에스,A073110
제이엠티,A094970
오디텍,A080520
ISC,A095340
네오티스,A085910
미래나노텍,A095500
상보,A027580
바이오톡스텍,A086040
아이엠이연이,A090740
옴니시스템,A057540
푸른기술,A094940
웨이브일렉트로,A095270
빅솔론,A093190
S&K폴리텍,A091340
율호,A072770
갤럭시아컴즈,A094480
에코프로,A086520
MP그룹,A065150
컴투스,A078340
네오위즈,A095660
앤씨앤,A092600
엔텔스,A069410
풍강,A093380
